test_pred_mean,val_mcc,tpr,fpr,p_train,p_val,p_test,ac_pred,mcc_pred
0.7032,0.6426650345447733,0.8759999999999999,0.09699999999999999,0.2,0.2,0.8,0.9829895403543121,0.7781771501925546
0.58,0.5227343795151546,0.6559999999999999,0.045,0.2,0.2,0.8,0.9269466384676224,0.8756137479541733
0.636,0.5944109257133213,0.828,0.071,0.2,0.2,0.8,0.9334993034940926,0.7463672391017174
0.3952,0.3919053079075176,0.504,0.006,0.2,0.2,0.8,0.6980795004850091,0.7815261044176707
0.5768,0.5553907619440946,0.7,0.039,0.2,0.2,0.8,0.8784412450092725,0.8136157337367625
0.5928,0.5544330630582488,0.7040000000000001,0.05,0.2,0.2,0.8,0.9084714570110916,0.8299694189602447
0.6679999999999999,0.5988138480976742,0.772,0.094,0.2,0.2,0.8,0.9815450519168074,0.8466076696165192
0.4904,0.4624852531395123,0.636,0.025,0.2,0.2,0.8,0.8279119129283861,0.7617021276595745
0.5544,0.5013763404583552,0.7,0.052000000000000005,0.2,0.2,0.8,0.906854255779221,0.7753086419753087
0.612,0.5869139866802737,0.76,0.042,0.2,0.2,0.8,0.9019767961748038,0.7938718662952646
0.6528,0.5889766508965754,0.7440000000000001,0.08,0.2,0.2,0.8,0.9687910875765972,0.8626506024096386
0.5424,0.5122451105908742,0.6920000000000001,0.022000000000000002,0.2,0.2,0.8,0.8684300014206909,0.7767164179104478
0.5728,0.5344958335076865,0.708,0.051,0.2,0.2,0.8,0.8974797119623176,0.7942161339421613
0.6512,0.6034529957767549,0.768,0.07,0.2,0.2,0.8,0.9476970089761882,0.8326647564469913
0.5352,0.4844018776291061,0.652,0.039,0.2,0.2,0.8,0.891987408555534,0.8094616639477977
0.644,0.6014846590735664,0.78,0.066,0.2,0.2,0.8,0.938173440173634,0.8095238095238096
0.5888,0.5657945727576423,0.736,0.044000000000000004,0.2,0.2,0.8,0.8871752023088814,0.7872832369942196
0.584,0.5315549936507288,0.68,0.038,0.2,0.2,0.8,0.9224087904107182,0.850467289719626
0.5920000000000001,0.5453104987166475,0.764,0.055,0.2,0.2,0.8,0.9188565063803948,0.7574047954866008
0.5528,0.535795801161183,0.7120000000000001,0.028999999999999998,0.2,0.2,0.8,0.8584598073284778,0.7669106881405563
0.4656,0.4546773704555742,0.536,0.024,0.2,0.2,0.8,0.7841504707698036,0.8624999999999999
0.6568,0.6200798145884121,0.728,0.08800000000000001,0.2,0.2,0.8,0.9366793584519572,0.8887500000000002
0.6144,0.5571800642186111,0.7040000000000001,0.063,0.2,0.2,0.8,0.9437452030541584,0.8602184087363492
